         4267112 function calls (4191631 primitive calls) in 99.764 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4359    0.016    0.000    0.022    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:401(<listcomp>)
     6667    0.016    0.000    0.119    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/path.py:99(__init__)
     2680    0.016    0.000    5.964    0.002 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:604(wait)
     2150    0.015    0.000    0.091    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_data/_task_stats.py:117(__add__)
      890    0.015    0.000    0.049    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/spawn.py:83(get_command_line)
      979    0.015    0.000    0.041    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/connection.py:515(Pipe)
       89    0.015    0.000    0.585    0.007 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:247(hard_stop)
57237/44789    0.014    0.000    0.024    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/artist.py:315(stale)
     4450    0.014    0.000    0.017    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/synchronize.py:100(__getstate__)
    39917    0.014    0.000    0.026    0.000 {built-in method builtins.max}
       89    0.014    0.000    0.014    0.000 {built-in method posix.mkdir}
      890    0.014    0.000    0.039    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:849(__init__)
     1958    0.013    0.000    0.515    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/synchronize.py:166(__init__)
     8509    0.013    0.000    0.035    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/copy.py:66(copy)
    10735    0.013    0.000    0.013    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     3834    0.013    0.000    0.023    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/cbook.py:1752(normalize_kwargs)
    48987    0.013    0.000    0.019    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/__init__.py:698(_get)
11991/11987    0.013    0.000    0.021    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/cbook.py:348(process)
    15452    0.013    0.000    0.033    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/collections/__init__.py:660(update)
     1958    0.012    0.000    0.012    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/connection.py:117(__init__)
    14967    0.012    0.000    0.012    0.000 {method 'rpartition' of 'str' objects}
    22805    0.012    0.000    0.027    0.000 {built-in method builtins.all}
     9916    0.012    0.000    0.012    0.000 {built-in method matplotlib._path.affine_transform}
    22009    0.011    0.000    0.011    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1920    0.011    0.000    0.019    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/bezier.py:199(__init__)
     2848    0.011    0.000    0.108    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/resource_tracker.py:153(register)
    19647    0.011    0.000    0.011    0.000 {method 'update' of 'dict' objects}
      890    0.011    0.000   21.512    0.024 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/popen_spawn_posix.py:30(__init__)
    14328    0.011    0.000    0.028    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:1886(__init__)
     2196    0.011    0.000    0.032    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:517(<listcomp>)
